,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
1544,Total,15022,38663,46000,15177,25245,30036,"Some College, No Degree",2010
1545,18 to 24 years,3366,13394,15936,3794,10986,13071,"Some College, No Degree",2010
1546,25 to 34 years,3165,36029,42866,2861,24349,28970,"Some College, No Degree",2010
1547,35 to 44 years,2793,47756,56818,2685,30359,36120,"Some College, No Degree",2010
1548,45 to 54 years,2787,53579,63746,2992,33485,39839,"Some College, No Degree",2010
1549,55 to 64 years,2272,50130,59643,2202,33140,39429,"Some College, No Degree",2010
1550,65 years and over,640,39261,46711,643,26643,31699,"Some College, No Degree",2010
1555,Total,15173,39204,47413,15073,25340,30646,"Some College, No Degree",2009
1556,18 to 24 years,3437,13771,16655,3853,11177,13517,"Some College, No Degree",2009
1557,25 to 34 years,3334,37230,45026,2840,24539,29677,"Some College, No Degree",2009
1558,35 to 44 years,2735,49576,59957,2673,29807,36048,"Some College, No Degree",2009
1559,45 to 54 years,2981,53804,65070,3055,34698,41963,"Some College, No Degree",2009
1560,55 to 64 years,2040,51169,61883,2044,33941,41048,"Some College, No Degree",2009
1561,65 years and over,645,35590,43042,609,23256,28126,"Some College, No Degree",2009
1566,Total,15966,39635,47768,15571,25296,30486,"Some College, No Degree",2008
1567,18 to 24 years,3521,14649,17655,4047,11878,14315,"Some College, No Degree",2008
1568,25 to 34 years,3574,38391,46268,3027,24359,29357,"Some College, No Degree",2008
1569,35 to 44 years,3004,50866,61303,2786,31227,37634,"Some College, No Degree",2008
1570,45 to 54 years,3132,52749,63572,3087,32219,38830,"Some College, No Degree",2008
1571,55 to 64 years,2091,49293,59407,2000,33847,40792,"Some College, No Degree",2008
1572,65 years and over,644,35612,42919,623,28709,34600,"Some College, No Degree",2008
1577,Total,16073,39375,49277,15787,26527,33198,"Some College, No Degree",2007
1578,18 to 24 years,3659,15024,18802,3921,12034,15060,"Some College, No Degree",2007
1579,25 to 34 years,3283,36345,45485,3026,26959,33739,"Some College, No Degree",2007
1580,35 to 44 years,3223,50580,63300,2964,31712,39687,"Some College, No Degree",2007
1581,45 to 54 years,3161,54599,68329,3204,33942,42478,"Some College, No Degree",2007
1582,55 to 64 years,2107,47611,59584,2070,33944,42480,"Some College, No Degree",2007
1583,65 years and over,640,35399,44301,602,28259,35365,"Some College, No Degree",2007
1588,Total,15377,38932,50104,15383,25649,33009,"Some College, No Degree",2006
1589,18 to 24 years,3528,15040,19356,3827,11523,14830,"Some College, No Degree",2006
1590,25 to 34 years,3212,36134,46503,2926,25418,32712,"Some College, No Degree",2006
1591,35 to 44 years,3032,50935,65552,2979,30774,39605,"Some College, No Degree",2006
1592,45 to 54 years,3062,52074,67018,3120,34149,43949,"Some College, No Degree",2006
1593,55 to 64 years,2007,49157,63263,1988,32701,42085,"Some College, No Degree",2006
1594,65 years and over,535,31679,40770,543,23643,30428,"Some College, No Degree",2006
1599,Total,15530,38768,51510,15554,24086,32003,"Some College, No Degree",2005
1600,18 to 24 years,3618,15940,21179,3816,10971,14577,"Some College, No Degree",2005
1601,25 to 34 years,3317,36889,49014,3025,23438,31142,"Some College, No Degree",2005
1602,35 to 44 years,3149,48719,64732,3023,29129,38703,"Some College, No Degree",2005
1603,45 to 54 years,3135,50451,67034,3169,31787,42235,"Some College, No Degree",2005
1604,55 to 64 years,1820,52299,69489,1994,30697,40787,"Some College, No Degree",2005
1605,65 years and over,492,31116,41343,527,22526,29930,"Some College, No Degree",2005
1610,Total,15121,37541,51570,15349,22923,31489,"Some College, No Degree",2004
1611,18 to 24 years,3447,13427,18445,3924,10743,14758,"Some College, No Degree",2004
1612,25 to 34 years,3275,34959,48023,2977,23194,31861,"Some College, No Degree",2004
1613,35 to 44 years,3096,48625,66796,3143,27605,37921,"Some College, No Degree",2004
1614,45 to 54 years,3045,49692,68262,3106,30109,41361,"Some College, No Degree",2004
1615,55 to 64 years,1725,49360,67806,1699,28032,38507,"Some College, No Degree",2004
1616,65 years and over,532,37291,51226,500,25463,34978,"Some College, No Degree",2004
1621,Total,15323,36419,51380,15253,22615,31905,"Some College, No Degree",2003
1622,18 to 24 years,3477,12944,18261,3812,10296,14526,"Some College, No Degree",2003
1623,25 to 34 years,3318,35151,49591,3064,22245,31383,"Some College, No Degree",2003
1624,35 to 44 years,3236,44568,62877,3180,27358,38597,"Some College, No Degree",2003
1625,45 to 54 years,3115,49323,69585,2988,30876,43560,"Some College, No Degree",2003
1626,55 to 64 years,1690,47521,67043,1668,28620,40377,"Some College, No Degree",2003
1627,65 years and over,487,37468,52860,540,19500,27511,"Some College, No Degree",2003
1632,Total,15702,36869,53196,15089,22292,32164,"Some College, No Degree",2002
1633,18 to 24 years,3514,12963,18704,3778,10206,14726,"Some College, No Degree",2002
1634,25 to 34 years,3411,34989,50484,3117,22193,32021,"Some College, No Degree",2002
1635,35 to 44 years,3395,47517,68560,3203,26951,38886,"Some College, No Degree",2002
1636,45 to 54 years,3251,49650,71637,2968,29898,43138,"Some College, No Degree",2002
1637,55 to 64 years,1666,45889,66211,1587,28589,41250,"Some College, No Degree",2002
1638,65 years and over,464,31873,45988,437,18786,27105,"Some College, No Degree",2002
1643,Total,15328,35268,51688,14977,22776,33380,"Some College, No Degree",2001
1644,18 to 24 years,3499,12459,18260,3787,11197,16410,"Some College, No Degree",2001
1645,25 to 34 years,3404,33952,49760,3146,22861,33505,"Some College, No Degree",2001
1646,35 to 44 years,3416,44719,65540,3301,26864,39372,"Some College, No Degree",2001
1647,45 to 54 years,3131,46993,68872,2868,28953,42433,"Some College, No Degree",2001
1648,55 to 64 years,1446,47512,69633,1482,29916,43845,"Some College, No Degree",2001
1649,65 years and over,431,29688,43510,393,27329,40053,"Some College, No Degree",2001
1654,Total,15445,35569,53614,15421,21076,31768,"Some College, No Degree",2000
1655,18 to 24 years,3445,12508,18853,3811,10677,16094,"Some College, No Degree",2000
1656,25 to 34 years,3451,34371,51808,3281,21606,32567,"Some College, No Degree",2000
1657,35 to 44 years,3492,44927,67719,3562,26040,39250,"Some College, No Degree",2000
1658,45 to 54 years,3140,50718,76448,3022,27309,41163,"Some College, No Degree",2000
1659,55 to 64 years,1427,41086,61930,1342,24218,36504,"Some College, No Degree",2000
1660,65 years and over,490,26291,39629,404,14034,21154,"Some College, No Degree",2000
1665,Total,15544,33780,52645,15457,20283,31610,"Some College, No Degree",1999
1666,18 to 24 years,3498,11843,18457,3850,9357,14583,"Some College, No Degree",1999
1667,25 to 34 years,3418,32591,50792,3264,20815,32439,"Some College, No Degree",1999
1668,35 to 44 years,3612,43312,67500,3581,25078,39083,"Some College, No Degree",1999
1669,45 to 54 years,3097,46767,72885,2938,26323,41023,"Some College, No Degree",1999
1670,55 to 64 years,1396,42855,66788,1381,25470,39694,"Some College, No Degree",1999
1671,65 years and over,522,21305,33203,444,16355,25489,"Some College, No Degree",1999
1676,Total,15015,32005,50941,14918,19327,30762,"Some College, No Degree",1998
1677,18 to 24 years,3438,11321,18019,3748,9216,14669,"Some College, No Degree",1998
1678,25 to 34 years,3317,32399,51568,3341,19396,30872,"Some College, No Degree",1998
1679,35 to 44 years,3581,40649,64699,3507,23373,37202,"Some College, No Degree",1998
1680,45 to 54 years,2856,42280,67295,2628,26619,42368,"Some College, No Degree",1998
1681,55 to 64 years,1366,39673,63146,1300,23935,38096,"Some College, No Degree",1998
1682,65 years and over,457,29887,47570,395,15051,23956,"Some College, No Degree",1998
1687,Total,14905,31268,50442,14378,18104,29205,"Some College, No Degree",1997
1688,18 to 24 years,3365,11338,18291,3677,8417,13578,"Some College, No Degree",1997
1689,25 to 34 years,3470,28594,46128,3376,18243,29430,"Some College, No Degree",1997
1690,35 to 44 years,3692,37798,60976,3425,22326,36016,"Some College, No Degree",1997
1691,45 to 54 years,2737,43131,69579,2480,25008,40343,"Some College, No Degree",1997
1692,55 to 64 years,1190,48826,78766,1108,23033,37157,"Some College, No Degree",1997
1693,65 years and over,450,28730,46347,313,12051,19441,"Some College, No Degree",1997
1698,Total,15112,30057,49536,14315,17475,28800,"Some College, No Degree",1996
1699,18 to 24 years,3478,9986,16458,3706,8318,13709,"Some College, No Degree",1996
1700,25 to 34 years,3686,28919,47661,3337,17741,29239,"Some College, No Degree",1996
1701,35 to 44 years,3756,37068,61091,3476,21612,35618,"Some College, No Degree",1996
1702,45 to 54 years,2623,42451,69962,2372,24951,41121,"Some College, No Degree",1996
1703,55 to 64 years,1132,47545,78358,1092,20325,33497,"Some College, No Degree",1996
1704,65 years and over,436,19447,32050,332,10939,18028,"Some College, No Degree",1996
1709,Total,14802,28458,48150,14391,16152,27329,"Some College, No Degree",1995
1710,18 to 24 years,3331,10319,17459,3790,7562,12795,"Some College, No Degree",1995
1711,25 to 34 years,3697,25917,43851,3414,16555,28011,"Some College, No Degree",1995
1712,35 to 44 years,3750,35657,60330,3349,20164,34117,"Some College, No Degree",1995
1713,45 to 54 years,2412,43008,72768,2477,22784,38550,"Some College, No Degree",1995
1714,55 to 64 years,1139,38001,64296,1011,18992,32134,"Some College, No Degree",1995
1715,65 years and over,473,21825,36927,350,11713,19818,"Some College, No Degree",1995
1720,Total,14904,25778,44666,14559,15558,26958,"Some College, No Degree",1994
1721,18 to 24 years,3495,9133,15825,3760,7773,13468,"Some College, No Degree",1994
1722,25 to 34 years,3618,26261,45503,3413,15896,27543,"Some College, No Degree",1994
1723,35 to 44 years,3758,32403,56146,3544,19212,33289,"Some College, No Degree",1994
1724,45 to 54 years,2354,37485,64951,2433,20940,36283,"Some College, No Degree",1994
1725,55 to 64 years,1178,32933,57064,1051,18834,32634,"Some College, No Degree",1994
1726,65 years and over,500,16875,29240,358,11768,20391,"Some College, No Degree",1994
1731,Total,14627,25455,45028,14257,15215,26914,"Some College, No Degree",1993
1732,18 to 24 years,3529,9306,16461,3816,7312,12934,"Some College, No Degree",1993
1733,25 to 34 years,3696,24337,43050,3510,16107,28492,"Some College, No Degree",1993
1734,35 to 44 years,3632,33050,58462,3396,19040,33680,"Some College, No Degree",1993
1735,45 to 54 years,2279,37550,66423,2198,20248,35817,"Some College, No Degree",1993
1736,55 to 64 years,1045,34212,60518,1005,19888,35180,"Some College, No Degree",1993
1737,65 years and over,446,18329,32422,333,10075,17822,"Some College, No Degree",1993
1742,Total,14494,23965,43461,13736,14709,26675,"Some College, No Degree",1992
1743,18 to 24 years,3651,8193,14858,3833,6871,12461,"Some College, No Degree",1992
1744,25 to 34 years,3657,23481,42583,3418,16317,29591,"Some College, No Degree",1992
1745,35 to 44 years,3611,31174,56534,3382,18196,32999,"Some College, No Degree",1992
1746,45 to 54 years,2222,35831,64980,1965,20089,36432,"Some College, No Degree",1992
1747,55 to 64 years,1016,32347,58662,882,18257,33109,"Some College, No Degree",1992
1748,65 years and over,338,19334,35062,256,11002,19952,"Some College, No Degree",1992
1753,Total,14062,24075,44746,13092,14364,26697,"Some College, No Degree",1991
1754,18 to 24 years,3433,8108,15070,3712,7094,13185,"Some College, No Degree",1991
1755,25 to 34 years,3653,24105,44802,3300,15849,29457,"Some College, No Degree",1991
1756,35 to 44 years,3516,30411,56522,3152,18512,34407,"Some College, No Degree",1991
1757,45 to 54 years,2042,37423,69555,1802,18841,35018,"Some College, No Degree",1991
1758,55 to 64 years,1053,30801,57247,854,17410,32358,"Some College, No Degree",1991
1759,65 years and over,365,18836,35009,272,8269,15369,"Some College, No Degree",1991
1765,Total,8396,58998,58998,9349,39551,39551,Associate Degree,2020
1766,18 to 24 years,645,27713,27713,762,20660,20660,Associate Degree,2020
1767,25 to 34 years,1975,49044,49044,2096,34363,34363,Associate Degree,2020
1768,35 to 44 years,1857,62665,62665,1959,42287,42287,Associate Degree,2020
1769,45 to 54 years,1704,69000,69000,1963,45933,45933,Associate Degree,2020
1770,55 to 64 years,1567,68244,68244,1858,45189,45189,Associate Degree,2020
1771,65 years and over,648,61319,61319,711,35212,35212,Associate Degree,2020
1776,Total,8608,59223,59962,9600,39239,39729,Associate Degree,2019
1777,18 to 24 years,685,27603,27948,812,21302,21568,Associate Degree,2019
1778,25 to 34 years,2137,47347,47938,2157,34346,34775,Associate Degree,2019
1779,35 to 44 years,1958,65571,66389,1966,42791,43325,Associate Degree,2019
1780,45 to 54 years,1723,67579,68422,2036,45859,46431,Associate Degree,2019
1781,55 to 64 years,1529,72181,73082,1913,44345,44899,Associate Degree,2019
1782,65 years and over,576,59910,60658,716,32106,32507,Associate Degree,2019
1787,Total,8241,58607,60414,9328,39079,40284,Associate Degree,2018
1788,18 to 24 years,623,35402,36493,774,22484,23177,Associate Degree,2018
1789,25 to 34 years,1912,49614,51143,2198,33622,34658,Associate Degree,2018
1790,35 to 44 years,1886,62930,64870,1893,41337,42611,Associate Degree,2018
1791,45 to 54 years,1817,67778,69867,1993,48065,49547,Associate Degree,2018
1792,55 to 64 years,1459,67100,69169,1792,43309,44644,Associate Degree,2018
1793,65 years and over,544,48360,49851,678,31816,32797,Associate Degree,2018
1798,Total,8026,54665,57724,9337,37877,39996,Associate Degree,2017
1799,18 to 24 years,647,24742,26126,738,23322,24627,Associate Degree,2017
1800,25 to 34 years,1949,44515,47006,2096,32604,34428,Associate Degree,2017
1801,35 to 44 years,1816,63591,67149,1943,40383,42643,Associate Degree,2017
1802,45 to 54 years,1672,65214,68863,2186,43880,46335,Associate Degree,2017
1803,55 to 64 years,1417,59648,62986,1786,41490,43812,Associate Degree,2017
1804,65 years and over,524,51316,54187,588,33380,35248,Associate Degree,2017
1809,Total,8026,56286,59436,9309,37841,39958,Associate Degree,2017
1810,18 to 24 years,627,24264,25622,720,18850,19905,Associate Degree,2017
1811,25 to 34 years,1960,46926,49552,2092,33829,35722,Associate Degree,2017
1812,35 to 44 years,1816,65384,69043,1944,40952,43243,Associate Degree,2017
1813,45 to 54 years,1670,66946,70692,2195,43378,45805,Associate Degree,2017
1814,55 to 64 years,1421,60729,64127,1779,41748,44084,Associate Degree,2017
1815,65 years and over,532,52082,54996,579,32530,34350,Associate Degree,2017
1820,Total,8132,53571,57785,9265,36559,39435,Associate Degree,2016
1821,18 to 24 years,621,26681,28780,749,18485,19939,Associate Degree,2016
1822,25 to 34 years,1957,46375,50023,2104,31260,33719,Associate Degree,2016
1823,35 to 44 years,1806,59146,63799,1881,38308,41321,Associate Degree,2016
1824,45 to 54 years,1728,64276,69332,2231,41250,44495,Associate Degree,2016
1825,55 to 64 years,1500,58445,63043,1753,44130,47601,Associate Degree,2016
1826,65 years and over,520,43778,47222,546,32278,34817,Associate Degree,2016
1831,Total,7913,51865,56666,9169,37234,40681,Associate Degree,2015
1832,18 to 24 years,589,21979,24014,772,17309,18911,Associate Degree,2015
1833,25 to 34 years,1848,44902,49059,2068,32779,35814,Associate Degree,2015
1834,35 to 44 years,1758,57785,63135,1922,40052,43760,Associate Degree,2015
1835,45 to 54 years,1774,60311,65894,2162,42277,46191,Associate Degree,2015
1836,55 to 64 years,1440,56845,62108,1681,43207,47207,Associate Degree,2015
1837,65 years and over,504,47707,52124,564,34106,37263,Associate Degree,2015
1842,Total,7608,52280,57218,8920,34803,38090,Associate Degree,2014
1843,18 to 24 years,568,22103,24191,758,17422,19068,Associate Degree,2014
1844,25 to 34 years,1833,42546,46565,2016,31149,34091,Associate Degree,2014
1845,35 to 44 years,1678,55598,60850,1910,37754,41320,Associate Degree,2014
1846,45 to 54 years,1694,62816,68750,2122,38189,41796,Associate Degree,2014
1847,55 to 64 years,1442,61904,67751,1582,41017,44891,Associate Degree,2014
1848,65 years and over,392,46394,50776,532,30810,33720,Associate Degree,2014
1853,Total,7442,48898,54423,9190,33983,37823,Associate Degree,2013
1854,18 to 24 years,548,22733,25302,829,16458,18318,Associate Degree,2013
1855,25 to 34 years,2014,43319,48214,2026,29364,32682,Associate Degree,2013
1856,35 to 44 years,1454,53605,59662,2006,38047,42346,Associate Degree,2013
1857,45 to 54 years,1770,59825,66585,2080,38514,42866,Associate Degree,2013
1858,55 to 64 years,1268,52059,57941,1699,35566,39585,Associate Degree,2013
1859,65 years and over,389,37015,41197,549,40583,45169,Associate Degree,2013
1864,Total,7588,50059,55715,8806,33946,37782,Associate Degree,2013
1865,18 to 24 years,550,25824,28742,733,18921,21059,Associate Degree,2013
1866,25 to 34 years,1787,44642,49686,1985,28830,32088,Associate Degree,2013
1867,35 to 44 years,1778,54241,60370,2040,34849,38787,Associate Degree,2013
1868,45 to 54 years,1800,59910,66679,2089,40389,44953,Associate Degree,2013
1869,55 to 64 years,1313,53161,59168,1540,39196,43625,Associate Degree,2013
1870,65 years and over,359,32718,36415,418,28660,31898,Associate Degree,2013
1875,Total,7513,48268,54518,8920,33194,37492,Associate Degree,2012
1876,18 to 24 years,634,20527,23185,809,19493,22017,Associate Degree,2012
1877,25 to 34 years,1698,42878,48430,1959,28717,32435,Associate Degree,2012
1878,35 to 44 years,1705,52975,59834,1924,34500,38967,Associate Degree,2012
1879,45 to 54 years,1810,58718,66321,2221,37947,42860,Associate Degree,2012
1880,55 to 64 years,1283,49297,55680,1592,38446,43424,Associate Degree,2012
